Rangasthalam | 9.4 | 2018 | Action, Drama | ./drama/6.jpg | India
Bullitt | 7.5 | 1968 | Action, Crime, Mystery | ./thriller/734.jpg | USA
Open Range | 7.5 | 2003 | Action, Drama, Romance | ./western/73.jpg | USA
The Getaway | 7.5 | 1972 | Action, Crime, Thriller | ./thriller/740.jpg | USA
Charley Varrick | 7.5 | 1973 | Action, Crime, Drama | ./thriller/749.jpg | USA
Ghost Dog: The Way of the Samurai | 7.5 | 1999 | Action, Crime, Drama | ./thriller/750.jpg | France, Germany, USA, Japan
Bring Me the Head of Alfredo Garcia | 7.5 | 1974 | Action, Crime, Drama | ./western/75.jpg | Mexico, USA
7 Men from Now | 7.5 | 1956 | Action, Western | ./western/78.jpg | USA
Redline | 7.5 | 2007 | Animation, Action, Sci-Fi | ./sport/86.jpg | USA
Battleground | 7.5 | 1949 | Action, War, Drama | ./war/368.jpg | USA
The Gamers: Dorkness Rising | 7.5 | 2008 | Action, Adventure, Comedy | ./fantasy/308.jpg | USA
Ghajini | 7.3 | 2008 | Action, Drama, Mystery | ./thriller/1089.jpg | India
Badlapur | 7.5 | 2015 | Action, Crime, Drama | ./thriller/779.jpg | India
Jai Lava Kusa | 7.5 | 2017 | Action, Drama | ./action/552.jpg | India
The Steel Helmet | 7.5 | 1951 | Action, Drama, War | ./war/379.jpg | USA
Space Adventure Cobra | 7.5 | 1982 | Animation, Action, Fantasy | ./sci-fi/191.jpg | Japan
Attack | 7.5 | 1956 | Action, Drama, War | ./war/382.jpg | USA
Gunda | 7.5 | 1998 | Action, Comedy, Crime | ./drama/3494.jpg | India
Neram | 7.5 | 2013 | Action, Drama, Romance | ./thriller/805.jpg | India
Sivaji | 7.5 | 2007 | Action, Drama, Thriller | ./thriller/811.jpg | India
Sync | 7.5 | 2012 | Action, Sci-Fi | ./sci-fi/193.jpg | USA
Khakee | 7.5 | 2004 | Action, Drama, Thriller | ./thriller/812.jpg | India
Muthu | 7.5 | 1995 | Action, Comedy, Drama | ./musical/229.jpg | India
Kerala Varma Pazhassi Raja | 7.5 | 2009 | Action, Biography, Drama | ./war/388.jpg | India
Brestskaya krepost | 7.5 | (2009) | Action, Drama, History | ./action/574.jpg | Poland
Big B | 7.5 | 2007 | Action, Crime, Thriller | ./thriller/815.jpg | India
Dookudu | 7.5 | 2011 | Action, Comedy | ./comedy/1436.jpg | India
Aadhi | 7.5 | (2011) | Action, Thriller | ./action/581.jpg | India
99 River Street | 7.5 | 1953 | Action, Crime, Drama | ./thriller/820.jpg | USA
The Lusty Men | 7.5 | 1952 | Action, Drama, Sport | ./western/89.jpg | USA
Adventure Scouts | 7.5 | 2010 | Action, Adventure, Comedy | ./sport/91.jpg | USA
Rajamanikyam | 7.5 | 2005 | Action, Comedy | ./action/595.jpg | India
Killing Veerappan | 7.5 | 2016 | Action, Biography, Crime | ./crime/724.jpg | India
Mashaal | 7.5 | 1984 | Action, Drama, Family | ./family/300.jpg | India
Neulovimye mstiteli | 7.5 | 1967 | Action, Adventure, Western | ./western/91.jpg | Soviet Union
Polladhavan | 7.5 | 1980 | Action | ./action/613.jpg | India
Avengers: Age of Ultron | 7.4 | 2015 | Action, Adventure, Sci-Fi | ./sci-fi/203.jpg | USA
Looper | 7.4 | 2012 | Action, Crime, Drama | ./thriller/851.jpg | USA, China
Mission: Impossible - Rogue Nation | 7.4 | 2015 | Action, Adventure, Thriller | ./thriller/852.jpg | China, Hong Kong, USA
Okja | 7.4 | 2017 | Action, Adventure, Drama | ./sci-fi/205.jpg | South Korea, USA
X-Men | 7.4 | 2000 | Action, Adventure, Sci-Fi | ./sci-fi/206.jpg | USA
The Accountant | 7.4 | 2016 | Action, Crime, Drama | ./thriller/854.jpg | USA
The Nice Guys | 7.4 | 2016 | Action, Comedy, Crime | ./thriller/855.jpg | USA
The Rock | 7.4 | 1996 | Action, Adventure, Thriller | ./thriller/860.jpg | USA
Master and Commander: The Far Side of the World | 7.4 | 2003 | Action, Adventure, Drama | ./war/408.jpg | USA
The Italian Job | 7.0 | 2003 | Action, Crime, Thriller | ./thriller/1722.jpg | USA, France, UK, Italy
Brick | 7.4 | 2005 | Action, Crime, Drama | ./thriller/879.jpg | USA
Grosse Pointe Blank | 7.4 | 1997 | Action, Comedy, Crime | ./thriller/885.jpg | USA
Running Scared | 6.5 | 2006 | Action, Comedy, Crime | ./thriller/3062.jpg | Germany, USA
Thief | 7.4 | 1981 | Action, Crime, Drama | ./thriller/895.jpg | USA
Jing wu men | 7.4 | (1981) | Action, Drama, Romance | ./action/642.jpg | Hong Kong, Philippines
The Professionals | 7.4 | 1966 | Action, Adventure, Western | ./western/102.jpg | USA
Heaven Knows, Mr. Allison | 7.4 | 1957 | Action, Adventure, Drama | ./war/420.jpg | USA, UK
The In-Laws | 7.4 | 2003 | Adventure, Comedy, Crime | ./thriller/914.jpg | USA, Germany, Canada
Full Love | 7.4 | 2014 | Action, Drama | ./drama/3999.jpg | USA, Thailand, Hong Kong
Run Silent Run Deep | 7.4 | 1958 | War, Action, Drama | ./war/424.jpg | USA
To Hell and Back | 7.4 | 1955 | Action, Biography, Drama | ./war/426.jpg | USA
Star Wars: Episode I - The Phantom Menace | 6.5 | 1999 | Action, Adventure, Fantasy | ./sci-fi/724.jpg | USA
Kaminey | 7.4 | 2009 | Action, Comedy, Crime | ./thriller/931.jpg | India
Yuva | 7.4 | 2004 | Action, Adventure, Crime | ./thriller/934.jpg | India
Thaanaa Serndha Koottam | 7.4 | 2017 | Action, Comedy, Crime | ./crime/836.jpg | India
Sik san | 7.4 | (2018) | Action, Comedy, Fantasy | ./action/668.jpg | Hong Kong
Temper | 7.4 | 2015 | Action, Drama | ./drama/4127.jpg | India
One Piece Film: Gold | 7.4 | 2016 | Animation, Action, Adventure | ./animation/268.jpg | Japan
Holiday | 7.4 | 2014 | Action, Crime, Thriller | ./thriller/953.jpg | India
Objective, Burma! | 7.4 | 1945 | Action, Adventure, Drama | ./war/438.jpg | USA
Apaharan | 7.4 | 2005 | Action, Crime, Drama | ./drama/4173.jpg | India
Golmaal: Fun Unlimited | 7.4 | 2006 | Action, Comedy, Drama | ./family/342.jpg | India
Simhadri | 7.4 | 2003 | Action, Drama | ./drama/4280.jpg | India
Gupt: The Hidden Truth | 7.4 | 1997 | Action, Crime, Drama | ./thriller/987.jpg | India
Kuttram 23 | 7.4 | 2017 | Action, Thriller | ./thriller/999.jpg | India
Metro | 6.6 | 1997 | Action, Thriller | ./thriller/2835.jpg | USA
Narashimham | 7.4 | 2000 | Action, Drama, Musical | ./musical/260.jpg | India
Sye | 7.4 | 2004 | Action, Comedy, Romance | ./sport/112.jpg | India
Gardish | 7.4 | 1993 | Action, Crime, Drama | ./crime/906.jpg | India
Khiladi | 7.4 | 1992 | Action, Musical, Mystery | ./thriller/1008.jpg | India
Gharshana | 7.4 | 2004 | Action, Crime, Drama | ./thriller/1009.jpg | India
Namak Halaal | 7.4 | 1982 | Action, Comedy, Drama | ./drama/4434.jpg | India
Hind Ka Napak Ko Jawab | 7.4 | 2017 | Action, Comedy | ./action/724.jpg | India
Sree | 7.4 | 2005 | Action | ./action/737.jpg | India
Billa | 6.1 | 2007 | Action, Romance, Thriller | ./thriller/4498.jpg | India
John Wick | 7.3 | 2014 | Action, Crime, Thriller | ./thriller/1028.jpg | USA, China
The Man from U.N.C.L.E. | 7.3 | 2015 | Action, Adventure, Comedy | ./comedy/1843.jpg | USA, UK
Ant-Man | 7.3 | 2015 | Action, Adventure, Comedy | ./sci-fi/241.jpg | USA
13 Hours | 7.3 | 2016 | Action, Drama, History | ./war/471.jpg | Malta, Morocco, USA
Spider-Man | 7.3 | 2002 | Action, Adventure, Sci-Fi | ./sci-fi/242.jpg | USA
American Sniper | 7.3 | 2014 | Action, Biography, Drama | ./war/472.jpg | USA
The LEGO Batman Movie | 7.3 | 2017 | Animation, Action, Adventure | ./fantasy/416.jpg | USA, Denmark
From Dusk Till Dawn | 7.3 | 1996 | Action, Crime, Horror | ./horror/184.jpg | USA
Pirates of the Caribbean: Dead Man's Chest | 7.3 | 2006 | Action, Adventure, Fantasy | ./fantasy/417.jpg | USA
Willow | 7.3 | 1988 | Action, Adventure, Drama | ./romance/1484.jpg | USA
Dawn of the Dead | 7.3 | 2004 | Action, Horror, Thriller | ./thriller/1040.jpg | USA, Canada, Japan, France
Fast Five | 7.3 | 2011 | Action, Crime, Thriller | ./thriller/1041.jpg | USA
Spider-Man 2 | 7.3 | 2004 | Action, Adventure, Sci-Fi | ./sci-fi/245.jpg | USA
Superman | 7.2 | 1978 | Sci-Fi | ./sci-fi/322.jpg | USA, UK, Panama, Switzerland, Canada
They Live | 7.3 | 1988 | Action, Horror, Sci-Fi | ./thriller/1046.jpg | USA
Face/Off | 7.3 | 1997 | Action, Crime, Sci-Fi | ./thriller/1047.jpg | USA
Beverly Hills Cop | 7.3 | 1984 | Action, Comedy, Crime | ./crime/953.jpg | USA
Megamind | 7.3 | 2010 | Animation, Action, Comedy | ./sci-fi/252.jpg | USA
Enemy of the State | 7.3 | 1998 | Action, Crime, Mystery | ./thriller/1053.jpg | USA
Big Trouble in Little China | 7.3 | 1986 | Action, Adventure, Comedy | ./fantasy/426.jpg | USA
Friday Night Lights | 7.3 | 2004 | Action, Drama, Sport | ./sport/118.jpg | Germany, USA
The Negotiator | 7.3 | 1998 | Action, Crime, Drama | ./thriller/1060.jpg | Germany, USA
Dr. No | 7.3 | 1962 | Action, Adventure, Thriller | ./thriller/1061.jpg | UK
Kung Fu Panda 2 | 7.3 | 2011 | Animation, Action, Adventure | ./fantasy/430.jpg | USA
The Siege of Jadotville | 7.3 | 2016 | Action, Drama, Thriller | ./war/476.jpg | Ireland, South Africa
Salyut-7 | 7.3 | 2017 | Action, Drama, History | ./history/417.jpg | Russia
Runaway Train | 7.3 | 1985 | Action, Adventure, Drama | ./thriller/1068.jpg | USA
Crimson Tide | 7.3 | 1995 | Action, Drama, Thriller | ./war/478.jpg | USA
To Live and Die in L.A. | 7.3 | 1985 | Action, Crime, Drama | ./thriller/1079.jpg | USA
Vanishing Point | 7.3 | 1971 | Action, Crime, Thriller | ./thriller/1083.jpg | USA, UK
Mongol | 7.3 | (1971) | Action, Adventure, Biography | ./action/774.jpg | Russia, Germany, Kazakhstan
Waterloo | 7.3 | 1970 | Action, Biography, Drama | ./war/481.jpg | Italy, Soviet Union, USA
The Three Musketeers | 7.2 | 2011 | Action, Adventure, Drama | ./romance/1860.jpg | Germany, France, UK, USA
The Transformers: The Movie | 7.3 | 1986 | Animation, Action, Adventure | ./sci-fi/257.jpg | USA, Japan
State of Grace | 7.3 | 1990 | Action, Crime, Drama | ./thriller/1090.jpg | UK, USA
The Great Race | 7.3 | 1965 | Action, Adventure, Comedy | ./western/121.jpg | USA
The Yakuza | 7.3 | 1974 | Action, Crime, Drama | ./thriller/1099.jpg | USA, Japan
Flash Gordon | 6.5 | 1980 | Action, Adventure, Sci-Fi | ./sci-fi/730.jpg | UK, USA, Netherlands
The Young Lions | 7.3 | 1958 | Action, Drama, War | ./war/491.jpg | USA
Shaitan | 7.3 | 2011 | Action, Crime, Drama | ./thriller/1126.jpg | India
Little Caesar | 7.3 | 1931 | Action, Crime, Drama | ./romance/1576.jpg | USA
Bend of the River | 7.3 | 1952 | Action, Adventure, Romance | ./western/132.jpg | USA
Mardaani | 7.3 | 2014 | Action, Crime, Drama | ./thriller/1146.jpg | India
The Hurricane | 7.6 | 1999 | Biography, Drama, Sport | ./sport/67.jpg | USA
The Secret of the Sword | 7.3 | (1999) | Animation, Action, Adventure | ./action/823.jpg | USA
Yamadonga | 7.4 | 2007 | Action, Comedy, Fantasy | ./romance/1376.jpg | India
Janatha Garage | 7.3 | 2016 | Action, Drama | ./action/826.jpg | India
Chakravyuha | 7.3 | 2016 | Action, Comedy, Thriller | ./thriller/1165.jpg | India
Between Two Worlds | 7.3 | 1944 | Mystery, Drama, Fantasy | ./mystery/519.jpg | USA
Aadi | 7.3 | 2002 | Action, Drama, Romance | ./romance/1633.jpg | N/A
Yennai Arindhaal | 7.3 | 2015 | Action, Thriller | ./thriller/1167.jpg | India
Road House | 6.5 | 1989 | Action, Thriller | ./thriller/2982.jpg | USA
1942: A Love Story | 7.3 | 1994 | Romance, Action, Drama | ./romance/1646.jpg | India
Command Decision | 7.3 | 1948 | Action, Drama, War | ./war/527.jpg | USA
Shal | 7.3 | (1948) | Action, Adventure, Drama | ./action/861.jpg | India
Adhe Kangal | 7.3 | 2017 | Action, Thriller | ./thriller/1196.jpg | India
Ayan | 7.3 | 2009 | Action | ./action/865.jpg | India
El Gezira 2 | 7.3 | 2014 | Action, Drama, Thriller | ./thriller/1207.jpg | Egypt
Naanum Rowdydhaan | 7.3 | 2015 | Action, Comedy, Romance | ./romance/1726.jpg | India
Payanam | 7.3 | 2011 | Action, Crime | ./crime/1099.jpg | India
Keerthi Chakra | 7.3 | 2006 | Action, Drama, War | ./war/545.jpg | India
Hitler | 7.3 | 1996 | Action, Comedy, Drama | ./comedy/2226.jpg | India
Novye priklyucheniya neulovimykh | 7.3 | 1968 | Action, Adventure | ./adventure/701.jpg | Soviet Union
The Karate Kid | 6.2 | 1984 | Action, Drama, Family | ./sport/451.jpg | USA
American Made | 7.2 | 2017 | Action, Biography, Comedy | ./thriller/1217.jpg | Japan
Starship Troopers | 7.2 | 1997 | Action, Adventure, Sci-Fi | ./thriller/1221.jpg | USA
Highlander | 7.2 | 1986 | Action, Adventure, Fantasy | ./fantasy/494.jpg | UK
King Kong | 7.9 | 2005 | Adventure, Horror, Sci-Fi | ./sci-fi/79.jpg | New Zealand, USA, Germany
Deepwater Horizon | 7.2 | 2016 | Action, Drama, Thriller | ./thriller/1226.jpg | Hong Kong, USA
Point Break | 7.2 | 1991 | Action, Crime, Thriller | ./thriller/1228.jpg | Japan, USA
Kingdom of Heaven | 7.2 | 2005 | Action, Adventure, Drama | ./war/552.jpg | USA, UK, Spain, Germany, Morocco
GoldenEye | 7.2 | 1995 | Action, Adventure, Thriller | ./thriller/1230.jpg | UK, USA
21 Jump Street | 7.2 | 2012 | Action, Comedy, Crime | ./crime/1117.jpg | USA
The Patriot | 7.2 | 2000 | Action, Drama, History | ./war/553.jpg | USA, Germany
The Matrix Reloaded | 7.2 | 2003 | Action, Sci-Fi | ./sci-fi/297.jpg | USA, Australia
We Were Soldiers | 7.2 | 2002 | Action, Drama, History | ./war/555.jpg | USA, Germany
Live Free or Die Hard | 7.2 | 2007 | Action, Adventure, Thriller | ./thriller/1232.jpg | USA, UK
Defiance | 7.2 | 2008 | Action, Drama, History | ./war/557.jpg | USA
Speed | 7.2 | 1994 | Action, Adventure, Crime | ./thriller/1234.jpg | USA
Dope | 7.2 | 2015 | Action, Comedy, Crime | ./thriller/1236.jpg | USA
Strange Days | 7.2 | 1995 | Action, Crime, Drama | ./thriller/1239.jpg | USA
Desperado | 7.2 | 1995 | Action, Thriller | ./thriller/1245.jpg | USA
Escape from New York | 7.2 | 1981 | Action, Sci-Fi | ./sci-fi/302.jpg | UK, USA
Bomb City | 7.2 | 2017 | Action, Crime, Drama | ./western/145.jpg | USA
Lethal Weapon 2 | 7.2 | 1989 | Action, Crime, Thriller | ./thriller/1250.jpg | USA
Team America: World Police | 7.2 | 2004 | Action, Comedy | ./comedy/2274.jpg | USA, Germany
The Croods | 7.2 | 2013 | Animation, Action, Adventure | ./fantasy/503.jpg | USA
Star Trek VI: The Undiscovered Country | 7.2 | 1991 | Action, Adventure, Sci-Fi | ./thriller/1254.jpg | USA
'71 | 7.2 | 2014 | Action, Drama, Thriller | ./war/562.jpg | UK
In the Line of Fire | 7.2 | 1993 | Action, Crime, Drama | ./thriller/1260.jpg | USA
Bajirao Mastani | 7.2 | 2015 | Action, Drama, History | ./war/564.jpg | India
Magnum Force | 7.2 | 1973 | Action, Crime, Mystery | ./thriller/1264.jpg | USA
Ong-bak | 7.2 | (1973) | Action, Crime, Thriller | ./action/927.jpg | Thailand
The Whistleblower | 7.2 | 2010 | Action, Biography, Crime | ./thriller/1269.jpg | Canada, Germany
Harry Brown | 7.2 | 2009 | Action, Crime, Drama | ./thriller/1271.jpg | UK
The Driver | 7.2 | 1978 | Action, Crime, Thriller | ./thriller/1272.jpg | USA, UK
Tarzan the Ape Man | 7.2 | 1932 | Action, Adventure, Romance | ./romance/1807.jpg | USA
Sands of Iwo Jima | 7.2 | 1949 | Action, Drama, Romance | ./war/573.jpg | USA
Southern Comfort | 7.2 | 1981 | Action, Thriller | ./thriller/1290.jpg | USA, Switzerland, UK
Fan | 7.2 | 2016 | Action, Drama, Thriller | ./thriller/1293.jpg | India
The Outlaws | 7.2 | 2017 | Action, Crime | ./crime/1168.jpg | South Korea
Rosewood | 7.2 | 1997 | Action, Drama, History | ./history/507.jpg | USA
Wazir | 7.2 | 2016 | Action, Crime, Drama | ./thriller/1314.jpg | India
The Stunt Man | 7.2 | 1980 | Action, Comedy, Drama | ./thriller/1317.jpg | USA
Spyder | 7.2 | 2017 | Action, Sci-Fi, Thriller | ./thriller/1333.jpg | India
Gabbar is Back | 7.2 | 2015 | Action, Crime, Thriller | ./thriller/1338.jpg | India
Sangharsh | 7.2 | 1999 | Action, Crime, Thriller | ./thriller/1340.jpg | India
Musa | 7.2 | 2012 | Action, Drama, History | ./war/597.jpg | Turkey
Stander | 7.2 | 2003 | Action, Biography, Crime | ./crime/1216.jpg | Canada, Germany, South Africa, UK
Theri | 7.2 | 2016 | Action, Drama, Thriller | ./thriller/1349.jpg | India
Wu du | 7.2 | (2016) | Action | ./action/984.jpg | Hong Kong
The World in His Arms | 7.2 | 1952 | Action, Adventure, History | ./history/530.jpg | USA
The Spook Who Sat by the Door | 7.2 | 1973 | Action, Drama, Crime | ./crime/1235.jpg | USA
Hannibal Brooks | 7.2 | 1969 | Comedy, Adventure, War | ./war/605.jpg | UK, USA
Race Gurram | 7.2 | 2014 | Action, Comedy | ./comedy/2448.jpg | India
D-Day | 7.2 | 2013 | Action, Crime, Drama | ./thriller/1375.jpg | India
Vaanam | 7.2 | 2011 | Action, Crime, Drama | ./crime/1251.jpg | India
C.I.D. Moosa | 7.2 | 2003 | Action, Comedy | ./comedy/2460.jpg | India
Saheb Biwi Aur Gangster | 7.2 | 2011 | Action, Crime, Drama | ./thriller/1386.jpg | India
Lan tou He | 7.2 | (2011) | Action, Comedy, Drama | ./action/1000.jpg | Hong Kong
Julayi | 7.2 | 2012 | Action, Comedy, Thriller | ./thriller/1394.jpg | India
Thiruda Thiruda | 7.2 | 1994 | Action, Crime, Drama | ./crime/1273.jpg | India
King of the Rocket Men | 7.2 | 1949 | Action, Adventure, Crime | ./sci-fi/331.jpg | USA
Pulimurugan | 7.2 | 2016 | Action, Adventure | ./adventure/791.jpg | India
Zg80 | 7.2 | 2016 | Action, Comedy, Crime | ./crime/1282.jpg | Croatia
Nerukku Ner | 7.2 | 1997 | Action, Drama | ./action/1016.jpg | India
Shao Lin yu Wu Dang | 7.2 | 1983 | Action | ./action/1018.jpg | Hong Kong
Zvezda | 7.2 | 1953 | Action, Adventure, Drama | ./war/621.jpg | Soviet Union
Pandiya Naadu | 7.2 | 2013 | Action | ./action/1023.jpg | India
Mirchi | 7.2 | 2013 | Action, Drama | ./action/1027.jpg | India
Sethupathi | 7.2 | 2016 | Action | ./action/1028.jpg | India
Dasavatharam | 7.2 | 2008 | Action, Adventure, Sci-Fi | ./thriller/1413.jpg | India
Shaan | 7.2 | 1980 | Action, Adventure, Crime | ./thriller/1415.jpg | India
Kavan | 7.2 | 2017 | Action, Thriller | ./thriller/1418.jpg | India
Atharintiki Daaredi | 7.2 | 2013 | Action, Comedy, Drama | ./comedy/2552.jpg | India
Gaganam | 7.2 | 2011 | Action, Crime | ./crime/1320.jpg | India
Aakhree Raasta | 7.2 | 1986 | Action, Crime, Drama | ./crime/1322.jpg | India
Jalsa | 7.2 | 2008 | Action, Comedy, Drama | ./romance/2051.jpg | India
Aalavandhan | 7.2 | 2001 | Action, Thriller | ./thriller/1429.jpg | India
Hao xia | 7.2 | (2001) | Action, Drama | ./action/1050.jpg | Hong Kong
Pokkiri | 7.2 | 2007 | Action, Crime, Thriller | ./thriller/1434.jpg | India
Dhill | 7.2 | (2007) | Action, Drama | ./action/1054.jpg | India
Kranti | 7.2 | 1981 | Action, Adventure, Drama | ./history/551.jpg | India
Ma Yong Zhen | 7.2 | 1997 | Action, Crime, Drama | ./romance/2070.jpg | Hong Kong, China
Arunachalam | 7.2 | 1999 | Action, Comedy, Drama | ./action/1068.jpg | India
La Tarago Wa La Esteslam | 7.2 | 2010 | Action, Comedy | ./comedy/2639.jpg | Egypt
Glory Days | 7.2 | 1979 | Action, Drama, Family | ./family/515.jpg | USA
Den of Thieves | 7.1 | 2018 | Action, Crime, Drama | ./thriller/1453.jpg | USA
Star Trek: Beyond | 7.1 | 2016 | Action, Adventure, Sci-Fi | ./thriller/1455.jpg | USA, Hong Kong, China
The Foreigner | 7.1 | 2017 | Action, Crime, Drama | ./thriller/1456.jpg | UK, China, USA
Transformers | 7.1 | 2007 | Action, Adventure, Sci-Fi | ./sci-fi/343.jpg | USA
Man of Steel | 7.1 | 2013 | Action, Adventure, Fantasy | ./sci-fi/344.jpg | USA, UK
Real Steel | 7.1 | 2011 | Action, Drama, Family | ./sport/181.jpg | USA, India
RED | 7.1 | 2010 | Action, Comedy, Crime | ./thriller/1460.jpg | USA
Allied | 7.1 | 2016 | Action, Drama, Romance | ./war/643.jpg | UK, USA
Furious 6 | 7.1 | (2016) | Action, Crime, Thriller | ./action/1088.jpg | USA
Pirates of the Caribbean: At World's End | 7.1 | 2007 | Action, Adventure, Fantasy | ./fantasy/576.jpg | USA
Kung Fu Panda 3 | 7.1 | 2016 | Animation, Action, Adventure | ./fantasy/580.jpg | China, USA
I, Robot | 7.1 | 2004 | Action, Crime, Drama | ./thriller/1469.jpg | USA, Germany
Blade | 7.1 | 1998 | Action, Horror | ./horror/282.jpg | USA
Bronson | 7.1 | 2008 | Action, Biography, Crime | ./crime/1365.jpg | UK
Die Hard 2 | 7.1 | 1990 | Action, Thriller | ./thriller/1471.jpg | USA
State of Play | 7.1 | 2009 | Action, Crime, Drama | ./thriller/1486.jpg | USA, UK, France
Three Kings | 7.1 | 1999 | Action, Adventure, Comedy | ./war/649.jpg | USA
Payback | 7.1 | 1999 | Action, Crime, Drama | ./thriller/1490.jpg | USA
The Kingdom | 7.1 | 2007 | Action, Drama, Thriller | ./thriller/1493.jpg | USA, Germany
No Way Out | 7.1 | 1987 | Action, Crime, Drama | ./thriller/1496.jpg | USA
Spy Game | 7.1 | 2001 | Action, Crime, Thriller | ./thriller/1497.jpg | Germany, USA, Japan, France
Juice | 7.1 | 1992 | Action, Crime, Drama | ./thriller/1504.jpg | USA, UK
The Poseidon Adventure | 7.1 | 1972 | Action, Adventure, Drama | ./thriller/1506.jpg | USA
The Bounty | 7.1 | 1984 | Action, Adventure, Drama | ./romance/2149.jpg | UK, USA, New Zealand
The Eagle and the Hawk | 7.1 | 1933 | Action, Drama, War | ./war/653.jpg | USA
The Monster Squad | 7.1 | 1987 | Action, Comedy, Fantasy | ./horror/293.jpg | USA
Paid in Full | 7.1 | 2002 | Action, Crime, Drama | ./crime/1390.jpg | USA
Solo | 7.1 | 1996 | Action, Drama, Thriller | ./thriller/1515.jpg | Mexico, USA
Sultan | 7.1 | 2016 | Action, Drama, Sport | ./sport/194.jpg | India
The Vikings | 7.1 | 1958 | Action, Adventure | ./adventure/865.jpg | USA, West Germany
